ID	Normoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
226347_at	7.86	11.37	-11.37	3.89E-06	0.0097		
227285_at	7.24	10.45	-9.24	4.38E-06	0.0104	CIART	circadian associated repressor of transcription
219390_at	6.36	9.39	-8.16	5.07E-06	0.0115	FKBP14	FK506 binding protein 14
217047_s_at	5.15	9.68	-23.06	5.45E-06	0.0116	FAM13A	family with sequence similarity 13, member A
225750_at	9.7	12.99	-9.82	5.51E-06	0.0116	ERO1A	endoplasmic reticulum oxidoreductase alpha
219888_at	6.72	10.01	-9.83	5.84E-06	0.0118	SPAG4	sperm associated antigen 4
219232_s_at	7.51	10.58	-8.4	6.16E-06	0.0120	EGLN3	egl-9 family hypoxia-inducible factor 3
202842_s_at	10.08	13.34	-9.6	6.41E-06	0.0121	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
201848_s_at	8.22	11.41	-9.15	7.33E-06	0.0129	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3
209258_s_at	8.57	5.7	7.35	7.26E-06	0.0129	SMC3	structural maintenance of chromosomes 3
213397_x_at	5.47	8.87	-10.58	8.04E-06	0.0129	RNASE4	ribonuclease, RNase A family, 4
221478_at	9.78	12.84	-8.31	7.84E-06	0.0129	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like
221479_s_at	8.81	11.79	-7.86	7.64E-06	0.0129	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like
202934_at	9.21	12.52	-9.91	9.07E-06	0.0134	HK2	hexokinase 2
214978_s_at	5.18	8.32	-8.76	8.67E-06	0.0134	PPFIA4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4
224314_s_at	5.39	8.11	-6.57	9.23E-06	0.0134	EGLN1	egl-9 family hypoxia-inducible factor 1
230710_at	6.11	8.97	-7.28	9.31E-06	0.0134	MIR210HG	MIR210 host gene
202843_at	6.62	11.29	-25.56	1.00E-05	0.0138	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
202887_s_at	10.36	13.06	-6.5	1.12E-05	0.0138	DDIT4	DNA damage inducible transcript 4
202935_s_at	6.17	8.92	-6.74	1.31E-05	0.0138	SOX9	SRY box 9
204298_s_at	4.83	9.9	-33.71	1.12E-05	0.0138	LOX	lysyl oxidase
205158_at	5.18	7.87	-6.44	1.14E-05	0.0138	RNASE4	ribonuclease, RNase A family, 4
210174_at	7.07	4.43	6.23	1.08E-05	0.0138	NR5A2	nuclear receptor subfamily 5, group A, member 2
217168_s_at	9.08	12.42	-10.13	1.30E-05	0.0138	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
221577_x_at	10.77	13.35	-5.96	1.25E-05	0.0138	GDF15	growth differentiation factor 15
222847_s_at	8.19	10.87	-6.43	1.27E-05	0.0138	EGLN3	egl-9 family hypoxia-inducible factor 3
226360_at	7.85	4.9	7.71	1.30E-05	0.0138	ZNRF3	zinc and ring finger 3
227719_at	5.29	8.58	-9.78	1.28E-05	0.0138	SMAD9	SMAD family member 9
228427_at	6	9.49	-11.21	1.02E-05	0.0138	FBXO16	F-box protein 16
228863_at	6.81	4.16	6.27	1.31E-05	0.0138	PCDH17	protocadherin 17
1568611_at	6.22	9.02	-6.97	1.14E-05	0.0138		
211559_s_at	6.9	9.58	-6.41	1.42E-05	0.0143	CCNG2	cyclin G2
221497_x_at	6.29	8.89	-6.06	1.39E-05	0.0143	EGLN1	egl-9 family hypoxia-inducible factor 1
212660_at	9.77	7.16	6.11	1.47E-05	0.0146	JADE2	jade family PHD finger 2
209357_at	8.52	11.12	-6.08	1.67E-05	0.0147	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 2
210095_s_at	8.21	11.87	-12.66	1.51E-05	0.0147	IGFBP3	insulin like growth factor binding protein 3
220936_s_at	7.94	5.49	5.48	1.62E-05	0.0147	H2AFJ	H2A histone family, member J
223193_x_at	10.79	13.62	-7.08	1.62E-05	0.0147	FAM162A	family with sequence similarity 162, member A
230265_at	8.73	11.61	-7.37	1.64E-05	0.0147		
231240_at	7.74	5.19	5.85	1.55E-05	0.0147	DIO2	deiodinase, iodothyronine, type II
231944_at	4.68	8.88	-18.47	1.67E-05	0.0147	ERO1B	endoplasmic reticulum oxidoreductase beta
221009_s_at	7.48	9.97	-5.61	1.74E-05	0.0148	ANGPTL4	angiopoietin like 4
230659_at	7.23	9.88	-6.28	1.73E-05	0.0148		
204326_x_at	9.27	11.94	-6.36	1.92E-05	0.0161	MT1X	metallothionein 1X
218507_at	10.93	13.77	-7.15	1.99E-05	0.0165	HILPDA	hypoxia inducible lipid droplet-associated
201170_s_at	9.16	12.27	-8.6	2.70E-05	0.0176	BHLHE40	basic helix-loop-helix family, member e40
201250_s_at	8.88	11.42	-5.8	2.53E-05	0.0176	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1
201968_s_at	8.6	11.03	-5.39	2.87E-05	0.0176	PGM1	phosphoglucomutase 1
202733_at	9.48	12.33	-7.16	2.72E-05	0.0176	P4HA2	prolyl 4-hydroxylase, alpha polypeptide II
202770_s_at	8.26	10.99	-6.62	3.22E-05	0.0176	CCNG2	cyclin G2
202936_s_at	7.27	9.99	-6.6	2.80E-05	0.0176	SOX9	SRY box 9
202948_at	7.79	5.46	5.01	2.91E-05	0.0176	IL1R1	interleukin 1 receptor, type I
203967_at	8.37	10.79	-5.34	2.65E-05	0.0176	CDC6	cell division cycle 6
205493_s_at	6.86	9.08	-4.66	2.99E-05	0.0176	DPYSL4	dihydropyrimidinase-like 4
206307_s_at	7.59	9.97	-5.19	2.20E-05	0.0176	FOXD1	forkhead box D1
206500_s_at	7.08	4.74	5.05	2.28E-05	0.0176	MIS18BP1	MIS18 binding protein 1
207980_s_at	6.46	8.75	-4.92	2.66E-05	0.0176	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 2
208900_s_at	11.37	9.08	4.91	2.60E-05	0.0176	TOP1	topoisomerase (DNA) I
211708_s_at	8.7	11.04	-5.07	2.97E-05	0.0176	SCD	stearoyl-CoA desaturase (delta-9-desaturase)
216450_x_at	9.15	11.47	-5	2.47E-05	0.0176	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1
218976_at	8.05	10.39	-5.06	2.63E-05	0.0176	DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12
218987_at	9.03	6.61	5.33	2.77E-05	0.0176	ATF7IP	activating transcription factor 7 interacting protein
220942_x_at	11.19	13.55	-5.12	3.08E-05	0.0176	FAM162A	family with sequence similarity 162, member A
223475_at	8.09	4.72	10.32	2.35E-05	0.0176	CRISPLD1	cysteine-rich secretory protein LCCL domain containing 1
224345_x_at	10.91	13.77	-7.26	2.47E-05	0.0176	FAM162A	family with sequence similarity 162, member A
225342_at	8.67	10.94	-4.82	2.51E-05	0.0176	AK4	adenylate kinase 4
225978_at	7.49	5.17	4.97	2.27E-05	0.0176	RIMKLB	ribosomal modification protein rimK-like family member B
226275_at	9.08	11.28	-4.59	3.18E-05	0.0176	MXD1	MAX dimerization protein 1
226682_at	3.69	6.76	-8.36	2.52E-05	0.0176	RORA	RAR-related orphan receptor A
226863_at	8.37	11.48	-8.66	2.86E-05	0.0176	FAM110C	family with sequence similarity 110, member C
228213_at	7.69	5.44	4.75	3.18E-05	0.0176	H2AFJ	H2A histone family, member J
228234_at	7.32	10.49	-8.99	3.17E-05	0.0176	TICAM2; TMED7-TICAM2	toll-like receptor adaptor molecule 2; TMED7-TICAM2 readthrough
228483_s_at	6.22	8.51	-4.91	2.99E-05	0.0176	TAF9B	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa
229492_at	9.35	7.11	4.72	2.71E-05	0.0176	VANGL1	VANGL planar cell polarity protein 1
239451_at	6.04	8.88	-7.15	3.21E-05	0.0176		
244802_at	6.71	4.49	4.67	2.86E-05	0.0176		
1558738_at	5.87	8.14	-4.82	3.07E-05	0.0176	NOL3	nucleolar protein 3 (apoptosis repressor with CARD domain)
1565867_a_at	7.07	4.8	4.82	2.53E-05	0.0176	LOC441155; ZC3H11A	zinc finger CCCH-type domain-containing-like; zinc finger CCCH-type containing 11A
1569086_at	5.57	7.75	-4.51	3.17E-05	0.0176	EML2-AS1	EML2 antisense RNA 1
201849_at	11.31	13.52	-4.61	3.46E-05	0.0177	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3
203252_at	7.71	10.04	-5.02	3.35E-05	0.0177	CDK2AP2	cyclin-dependent kinase 2 associated protein 2
204709_s_at	9.33	7.14	4.54	3.29E-05	0.0177	KIF23	kinesin family member 23
205141_at	5.92	8.06	-4.42	3.74E-05	0.0177	ANG	angiogenin, ribonuclease, RNase A family, 5
209257_s_at	8.84	6.55	4.91	3.37E-05	0.0177	SMC3	structural maintenance of chromosomes 3
209822_s_at	7.53	9.67	-4.41	3.78E-05	0.0177	VLDLR	very low density lipoprotein receptor
209921_at	9.19	11.59	-5.28	3.78E-05	0.0177	SLC7A11	solute carrier family 7 (anionic amino acid transporter light chain, xc- system), member 11
212558_at	7.04	9.37	-5.01	3.71E-05	0.0177	SPRY1	sprouty RTK signaling antagonist 1
222690_s_at	9.49	12.06	-5.94	3.80E-05	0.0177	TMEM39A	transmembrane protein 39A
223070_at	10.34	12.98	-6.24	3.48E-05	0.0177	SELK	selenoprotein K
225895_at	6.49	4.33	4.48	3.63E-05	0.0177	SYNPO2	synaptopodin 2
226420_at	6.68	4.18	5.63	3.36E-05	0.0177	MECOM	MDS1 and EVI1 complex locus
228969_at	8.12	10.31	-4.59	3.82E-05	0.0177	AGR2	anterior gradient 2, protein disulphide isomerase family member
235532_at	7.32	4.81	5.71	3.58E-05	0.0177		
235857_at	7.66	10.55	-7.43	3.79E-05	0.0177	KCTD11	potassium channel tetramerization domain containing 11
242918_at	6.55	4.42	4.38	3.76E-05	0.0177	NASP	nuclear autoantigenic sperm protein (histone-binding)
1555679_a_at	7.54	5.35	4.56	3.41E-05	0.0177	RTN4IP1	reticulon 4 interacting protein 1
1557129_a_at	5.95	3.82	4.38	3.65E-05	0.0177	FAM111B	family with sequence similarity 111, member B
205792_at	8.23	10.42	-4.58	3.97E-05	0.0177	WISP2	WNT1 inducible signaling pathway protein 2
209122_at	9.23	12.36	-8.75	3.88E-05	0.0177	PLIN2	perilipin 2
210512_s_at	9.16	11.95	-6.91	3.93E-05	0.0177	VEGFA	vascular endothelial growth factor A
211421_s_at	9.48	5.92	11.82	3.98E-05	0.0177	RET	ret proto-oncogene
218498_s_at	7.21	10.88	-12.71	3.92E-05	0.0177	ERO1A	endoplasmic reticulum oxidoreductase alpha
224657_at	10.34	13.18	-7.14	4.07E-05	0.0178	ERRFI1	ERBB receptor feedback inhibitor 1
1564027_a_at	5.64	7.78	-4.4	4.05E-05	0.0178	TCAF2	TRPM8 channel-associated factor 2
202464_s_at	9.27	11.68	-5.32	4.13E-05	0.0178	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
202655_at	10.7	12.9	-4.6	4.20E-05	0.0178	MANF	mesencephalic astrocyte-derived neurotrophic factor
36711_at	7.9	10.55	-6.29	4.17E-05	0.0178	MAFF	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F
228846_at	9.62	11.82	-4.6	4.18E-05	0.0178	MXD1	MAX dimerization protein 1
202375_at	7.83	10.16	-5.03	4.29E-05	0.0180	SEC24D	SEC24 homolog D, COPII coat complex component
202769_at	10.61	12.96	-5.09	4.37E-05	0.0180	CCNG2	cyclin G2
212143_s_at	6.4	9.34	-7.7	4.50E-05	0.0180	IGFBP3	insulin like growth factor binding protein 3
215220_s_at	5.94	3.9	4.12	4.57E-05	0.0180	TPR	translocated promoter region, nuclear basket protein
224628_at	10.67	12.8	-4.37	4.58E-05	0.0180	ERLEC1	endoplasmic reticulum lectin 1
226860_at	9.5	6.47	8.19	4.34E-05	0.0180	TMEM19	transmembrane protein 19
227295_at	5.55	8.83	-9.73	4.45E-05	0.0180	IKBIP	IKBKB interacting protein
230031_at	7.43	9.49	-4.16	4.57E-05	0.0180	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)
239043_at	4.47	6.83	-5.12	4.51E-05	0.0180	ZNF404	zinc finger protein 404
242138_at	8.86	6.8	4.18	4.54E-05	0.0180	DLX1	distal-less homeobox 1
225284_at	9.7	12.2	-5.66	4.74E-05	0.0185	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3
207543_s_at	10.14	12.89	-6.75	4.89E-05	0.0188	P4HA1	prolyl 4-hydroxylase, alpha polypeptide I
233827_s_at	10.31	7.78	5.78	4.86E-05	0.0188	SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit
204698_at	8.15	10.65	-5.66	5.09E-05	0.0194	ISG20	interferon stimulated exonuclease gene 20kDa
218361_at	9.66	12.26	-6.05	5.39E-05	0.0204	GOLPH3L	golgi phosphoprotein 3-like
209291_at	8.84	6.59	4.75	5.45E-05	0.0205	ID4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
225834_at	10.92	8.71	4.62	5.54E-05	0.0207	FAM72A; FAM72B; FAM72C; FAM72D	family with sequence similarity 72, member A; family with sequence similarity 72, member B; family with sequence similarity 72, member C; family with sequence similarity 72, member D
201340_s_at	8.21	5.67	5.78	5.95E-05	0.0209	ENC1	ectodermal-neural cortex 1 (with BTB domain)
202342_s_at	7.08	9.15	-4.2	5.82E-05	0.0209	TRIM2	tripartite motif containing 2
203165_s_at	7.98	9.98	-3.99	5.98E-05	0.0209	SLC33A1	solute carrier family 33 (acetyl-CoA transporter), member 1
208744_x_at	10.75	8.57	4.53	5.95E-05	0.0209	HSPH1	heat shock 105kDa/110kDa protein 1
221123_x_at	7.12	9.19	-4.2	5.69E-05	0.0209	FBXO16; ZNF395	F-box protein 16; zinc finger protein 395
223216_x_at	7.14	9.1	-3.9	5.90E-05	0.0209	FBXO16; ZNF395	F-box protein 16; zinc finger protein 395
225090_at	7.8	10.1	-4.95	5.74E-05	0.0209	SYVN1	synovial apoptosis inhibitor 1, synoviolin
227655_at	6.03	8.2	-4.5	5.82E-05	0.0209	SNHG18	small nucleolar RNA host gene 18
228262_at	4.18	7.58	-10.56	5.90E-05	0.0209	MAP7D2	MAP7 domain containing 2
235425_at	9.74	7.79	3.85	5.96E-05	0.0209	SGOL2	shugoshin-like 2 (S. pombe)
204347_at	8.02	10.13	-4.32	6.25E-05	0.0212	AK4	adenylate kinase 4
204364_s_at	7.46	5.53	3.8	6.13E-05	0.0212	REEP1	receptor accessory protein 1
209136_s_at	9.11	7.14	3.92	6.14E-05	0.0212	USP10	ubiquitin specific peptidase 10
209203_s_at	8	5.83	4.49	6.23E-05	0.0212	BICD2	bicaudal D homolog 2 (Drosophila)
235341_at	7.62	10	-5.19	6.30E-05	0.0212	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3
235419_at	6.59	9.5	-7.5	6.33E-05	0.0212		
236429_at	6.6	4.3	4.92	6.27E-05	0.0212		
209034_at	9.05	10.95	-3.73	6.65E-05	0.0217	PNRC1	proline-rich nuclear receptor coactivator 1
209790_s_at	9.33	7.26	4.21	6.64E-05	0.0217	CASP6	caspase 6
212915_at	7.12	5.21	3.75	6.55E-05	0.0217	PDZRN3	PDZ domain containing ring finger 3
214961_at	4.33	7.45	-8.66	6.55E-05	0.0217	MTUS2	microtubule associated tumor suppressor candidate 2
229139_at	9.99	8	3.98	6.67E-05	0.0217	JPH1	junctophilin 1
244385_at	6.7	8.74	-4.13	6.70E-05	0.0217	KDM4C	lysine (K)-specific demethylase 4C
201294_s_at	5.84	9.01	-9	6.92E-05	0.0219	WSB1	WD repeat and SOCS box containing 1
202364_at	8.12	10.73	-6.13	6.89E-05	0.0219	MXI1	MAX interactor 1, dimerization protein
202710_at	8.99	11.14	-4.44	7.17E-05	0.0219	BET1	Bet1 golgi vesicular membrane trafficking protein
208930_s_at	9.8	7.8	4	7.45E-05	0.0219	ILF3	interleukin enhancer binding factor 3
211162_x_at	8.47	10.41	-3.85	7.36E-05	0.0219	SCD	stearoyl-CoA desaturase (delta-9-desaturase)
212689_s_at	9.03	12.08	-8.26	7.39E-05	0.0219	KDM3A	lysine (K)-specific demethylase 3A
213926_s_at	7.85	5.97	3.68	7.05E-05	0.0219	AGFG1	ArfGAP with FG repeats 1
217878_s_at	9.88	8.01	3.67	7.18E-05	0.0219	CDC27	cell division cycle 27
218012_at	8.91	10.78	-3.64	7.34E-05	0.0219	TSPYL2	TSPY-like 2
218149_s_at	9.07	11.04	-3.92	7.23E-05	0.0219	ZNF395	zinc finger protein 395
219158_s_at	9.98	8.04	3.84	7.40E-05	0.0219	NAA15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit
219743_at	8.06	6.17	3.71	7.00E-05	0.0219	HEY2	hes-related family bHLH transcription factor with YRPW motif 2
220668_s_at	9.7	7.8	3.72	7.41E-05	0.0219	DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta
224743_at	9.75	11.64	-3.72	7.32E-05	0.0219	IMPAD1	inositol monophosphatase domain containing 1
1554008_at	7.95	10.01	-4.18	6.95E-05	0.0219	OSMR	oncostatin M receptor
1558080_s_at	7.84	10.34	-5.66	7.46E-05	0.0219	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3
1564494_s_at	9.08	11.09	-4.03	7.01E-05	0.0219	P4HB	prolyl 4-hydroxylase, beta polypeptide
200769_s_at	8.78	6.81	3.93	7.57E-05	0.0219	MAT2A	methionine adenosyltransferase II, alpha
209189_at	7.81	10.69	-7.37	7.58E-05	0.0219	FOS	FBJ murine osteosarcoma viral oncogene homolog
219910_at	7.55	9.78	-4.68	7.54E-05	0.0219	FICD	FIC domain containing
223168_at	8.78	6.9	3.68	7.63E-05	0.0219	RHOU	ras homolog family member U
208859_s_at	8.46	6.45	4.03	7.76E-05	0.0222	ATRX	alpha thalassemia/mental retardation syndrome X-linked
223046_at	9.4	11.34	-3.86	7.83E-05	0.0223	EGLN1	egl-9 family hypoxia-inducible factor 1
232693_s_at	7.28	9.13	-3.6	7.91E-05	0.0224	FBXO16; ZNF395	F-box protein 16; zinc finger protein 395
203755_at	10.33	8.43	3.73	8.02E-05	0.0225	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B
212979_s_at	8.78	6.94	3.58	8.05E-05	0.0225	TCAF1	TRPM8 channel-associated factor 1
33304_at	8.16	10.74	-5.98	8.07E-05	0.0225	ISG20	interferon stimulated exonuclease gene 20kDa
236480_at	5.32	7.4	-4.21	8.17E-05	0.0227	MIR210HG	MIR210 host gene
221566_s_at	7.37	9.39	-4.03	8.28E-05	0.0227	NOL3	nucleolar protein 3 (apoptosis repressor with CARD domain)
1558212_at	5.48	7.31	-3.55	8.27E-05	0.0227	VLDLR-AS1	VLDLR antisense RNA 1
203279_at	7.82	10.28	-5.51	8.40E-05	0.0227	EDEM1	ER degradation enhancer, mannosidase alpha-like 1
204348_s_at	9.35	11.41	-4.15	8.37E-05	0.0227	AK4	adenylate kinase 4
227445_at	7.72	5.89	3.55	8.33E-05	0.0227	ZNF689	zinc finger protein 689
205199_at	6.63	8.46	-3.55	8.51E-05	0.0228	CA9	carbonic anhydrase IX
223333_s_at	6.78	8.66	-3.68	8.55E-05	0.0228	ANGPTL4	angiopoietin like 4
231890_at	4.91	6.73	-3.52	8.50E-05	0.0228		
212875_s_at	6.99	5.16	3.54	8.83E-05	0.0234	C2CD2	C2 calcium-dependent domain containing 2
1557227_s_at	6.42	4.55	3.65	8.97E-05	0.0237	TPR	translocated promoter region, nuclear basket protein
213403_at	5.58	7.37	-3.47	9.10E-05	0.0239	MFSD9	major facilitator superfamily domain containing 9
224604_at	9.45	11.33	-3.68	9.17E-05	0.0240	C4orf3	chromosome 4 open reading frame 3
218564_at	9.8	7.98	3.53	9.29E-05	0.0240	RFWD3	ring finger and WD repeat domain 3
219918_s_at	9.79	8.01	3.45	9.31E-05	0.0240	ASPM	abnormal spindle microtubule assembly
225557_at	8.2	10.19	-3.97	9.32E-05	0.0240	CSRNP1	cysteine-serine-rich nuclear protein 1
221523_s_at	5.06	7.85	-6.94	9.39E-05	0.0241	RRAGD	Ras-related GTP binding D
201296_s_at	9.21	11.72	-5.71	9.55E-05	0.0243	WSB1	WD repeat and SOCS box containing 1
202061_s_at	9.85	12.39	-5.82	9.52E-05	0.0243	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)
201702_s_at	9.18	6.63	5.89	9.70E-05	0.0244	PPP1R10	protein phosphatase 1, regulatory subunit 10
204318_s_at	7.8	6.02	3.43	9.67E-05	0.0244	GTSE1	G-2 and S-phase expressed 1
202341_s_at	7.13	8.91	-3.44	9.92E-05	0.0246	TRIM2	tripartite motif containing 2
204827_s_at	7.12	4.93	4.58	9.90E-05	0.0246	CCNF	cyclin F
222632_s_at	6.81	9.42	-6.12	9.93E-05	0.0246	LZTFL1	leucine zipper transcription factor like 1
222883_at	8.38	6.57	3.49	9.97E-05	0.0246	COA7	cytochrome c oxidase assembly factor 7 (putative)
223614_at	5.84	4.07	3.39	0.0001	0.0249	MMP16	matrix metallopeptidase 16 (membrane-inserted)
242725_at	6.51	8.6	-4.26	0.0001	0.0249		
211993_at	8.52	6.77	3.36	0.0001	0.0254	WNK1	WNK lysine deficient protein kinase 1
203685_at	6.33	4.42	3.76	0.0001	0.0255	BCL2	B-cell CLL/lymphoma 2
210041_s_at	9.66	11.75	-4.24	0.0001	0.0255	PGM3	phosphoglucomutase 3
219581_at	8.25	6.47	3.42	0.0001	0.0255	TSEN2	TSEN2 tRNA splicing endonuclease subunit
221538_s_at	9.57	7.53	4.1	0.0001	0.0255	PLXNA1	plexin A1
223217_s_at	10.71	8.6	4.33	0.0001	0.0255	NFKBIZ	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta
201249_at	4.89	6.72	-3.55	0.0001	0.0260	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1
201583_s_at	10.54	12.47	-3.83	0.0001	0.0260	SEC23B	Sec23 homolog B, COPII coat complex component
203282_at	10.45	13.16	-6.51	0.0001	0.0260	GBE1	glucan (1,4-alpha-), branching enzyme 1
203785_s_at	9.46	7.73	3.3	0.0001	0.0260	DDX28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28
204017_at	9.85	11.63	-3.42	0.0001	0.0260	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
209301_at	10.5	8.65	3.59	0.0001	0.0260	CA2	carbonic anhydrase II
209312_x_at	8.21	9.92	-3.26	0.0001	0.0260	HLA-DRB1; HLA-DRB4; HLA-DRB5; LOC105369230	major histocompatibility complex, class II, DR beta 1; major histocompatibility complex, class II, DR beta 4; major histocompatibility complex, class II, DR beta 5; HLA class II histocompatibility antigen, DRB1-7 beta chain
212675_s_at	7.84	6.14	3.26	0.0001	0.0260	CEP68	centrosomal protein 68kDa
213725_x_at	7.08	5.32	3.37	0.0001	0.0260	XYLT1	xylosyltransferase I
213761_at	7.77	6.04	3.34	0.0001	0.0260	MDM1	Mdm1 nuclear protein
215001_s_at	11.81	9.97	3.58	0.0001	0.0260	GLUL	glutamate-ammonia ligase
215193_x_at	7.44	9.18	-3.35	0.0001	0.0260	HLA-DRB1; HLA-DRB3; HLA-DRB4; LOC105369230	major histocompatibility complex, class II, DR beta 1; major histocompatibility complex, class II, DR beta 3; major histocompatibility complex, class II, DR beta 4; HLA class II histocompatibility antigen, DRB1-7 beta chain
215209_at	4.17	6.5	-5.03	0.0001	0.0260	SEC24D	SEC24 homolog D, COPII coat complex component
217356_s_at	10.78	12.67	-3.69	0.0001	0.0260	PGK1	phosphoglycerate kinase 1
218274_s_at	7.85	9.75	-3.71	0.0001	0.0260	ANKZF1	ankyrin repeat and zinc finger domain containing 1
222646_s_at	10.94	13.02	-4.22	0.0001	0.0260	ERO1A	endoplasmic reticulum oxidoreductase alpha
227027_at	7.14	9.49	-5.11	0.0001	0.0260	GFPT1	glutamine--fructose-6-phosphate transaminase 1
227662_at	6.37	4.6	3.4	0.0001	0.0260	SYNPO2	synaptopodin 2
228081_at	6.2	8.05	-3.59	0.0001	0.0260	CCNG2	cyclin G2
228260_at	6.6	4.81	3.47	0.0001	0.0260	ELAVL2	ELAV like neuron-specific RNA binding protein 2
231382_at	7.4	5.12	4.86	0.0001	0.0260	FGF18	fibroblast growth factor 18
236207_at	7.43	5.38	4.15	0.0001	0.0260	SSFA2	sperm specific antigen 2
238542_at	8.6	10.53	-3.81	0.0001	0.0260	ULBP2	UL16 binding protein 2
1555772_a_at	5.73	3.93	3.48	0.0001	0.0260	CDC25A	cell division cycle 25A
1558924_s_at	8.41	6.67	3.34	0.0001	0.0261	CLIP1	CAP-GLY domain containing linker protein 1
202557_at	7.88	9.71	-3.57	0.0001	0.0261	HSPA13	heat shock protein 70kDa family, member 13
212171_x_at	8.06	10.02	-3.89	0.0001	0.0261	VEGFA	vascular endothelial growth factor A
226226_at	7.96	9.94	-3.93	0.0001	0.0261	TMEM45B	transmembrane protein 45B
231202_at	3.99	8.16	-18.03	0.0001	0.0261	ALDH1L2	aldehyde dehydrogenase 1 family, member L2
213478_at	8.84	7.07	3.41	0.0001	0.0261	KAZN	kazrin, periplakin interacting protein
