ID	Nomoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
201291_s_at	11.12	7.9	9.31	1.09E-06	0.0014	TOP2A	topoisomerase (DNA) II alpha
202733_at	9.48	12.71	-9.32	1.27E-06	0.0014	P4HA2	prolyl 4-hydroxylase, alpha polypeptide II
204326_x_at	9.27	12.45	-9.04	1.18E-06	0.0014	MT1X	metallothionein 1X
205436_s_at	12.53	9.27	9.56	1.19E-06	0.0014	H2AFX	H2A histone family, member X
213397_x_at	5.47	8.87	-10.59	1.25E-06	0.0014	RNASE4	ribonuclease, RNase A family, 4
228499_at	7.59	10.86	-9.64	1.25E-06	0.0014	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
230265_at	8.73	11.95	-9.28	1.23E-06	0.0014		
1554462_a_at	8.07	12.05	-15.73	1.22E-06	0.0014	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
225956_at	4.97	8.61	-12.51	1.31E-06	0.0014	CREBRF	CREB3 regulatory factor
221787_at	8.82	5.59	9.36	1.40E-06	0.0015	C6orf120	chromosome 6 open reading frame 120
201983_s_at	6.28	9.33	-8.26	1.61E-06	0.0017	EGFR	epidermal growth factor receptor
202934_at	9.21	12.66	-10.91	1.67E-06	0.0017	HK2	hexokinase 2
202998_s_at	8.14	11.22	-8.48	1.65E-06	0.0017	LOXL2	lysyl oxidase-like 2
201848_s_at	8.22	11.33	-8.64	1.94E-06	0.0017	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3
202062_s_at	9.14	12.11	-7.84	1.98E-06	0.0017	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)
202064_s_at	7.91	11.52	-12.25	1.90E-06	0.0017	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)
203827_at	8.41	11.5	-8.51	1.83E-06	0.0017	WIPI1	WD repeat domain, phosphoinositide interacting 1
210426_x_at	4.73	7.76	-8.19	1.97E-06	0.0017	RORA	RAR-related orphan receptor A
221479_s_at	8.81	12.06	-9.52	1.79E-06	0.0017	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like
226279_at	11.53	7.84	12.85	1.99E-06	0.0017	PRSS23	protease, serine, 23
228234_at	7.32	10.78	-10.98	2.00E-06	0.0017	TICAM2; TMED7-TICAM2	toll-like receptor adaptor molecule 2; TMED7-TICAM2 readthrough
1558080_s_at	7.84	10.97	-8.79	1.93E-06	0.0017	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3
203276_at	9.04	6.05	7.93	2.08E-06	0.0018	LMNB1	lamin B1
211538_s_at	8.27	5.32	7.7	2.25E-06	0.0019	HSPA2	heat shock 70kDa protein 2
238476_at	4.32	7.66	-10.13	2.25E-06	0.0019	CREBRF	CREB3 regulatory factor
201170_s_at	9.16	12.4	-9.4	2.29E-06	0.0019	BHLHE40	basic helix-loop-helix family, member e40
200790_at	11.74	8.59	8.91	2.64E-06	0.0019	ODC1	ornithine decarboxylase 1
201984_s_at	7.49	10.35	-7.25	2.43E-06	0.0019	EGFR	epidermal growth factor receptor
202842_s_at	10.08	13.39	-9.91	2.70E-06	0.0019	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
203675_at	9.11	11.96	-7.18	2.71E-06	0.0019	NUCB2	nucleobindin 2
210512_s_at	9.16	12.2	-8.22	2.65E-06	0.0019	VEGFA	vascular endothelial growth factor A
213712_at	8.97	5.95	8.12	2.64E-06	0.0019	ELOVL2	ELOVL fatty acid elongase 2
214961_at	4.33	7.74	-10.63	2.56E-06	0.0019	MTUS2	microtubule associated tumor suppressor candidate 2
216450_x_at	9.15	12.06	-7.5	2.72E-06	0.0019	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1
221523_s_at	5.06	8.27	-9.26	2.45E-06	0.0019	RRAGD	Ras-related GTP binding D
235266_at	8.11	5.09	8.13	2.60E-06	0.0019	ATAD2	ATPase family, AAA domain containing 2
235341_at	7.62	10.81	-9.12	2.45E-06	0.0019	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3
240991_at	6.19	9.07	-7.34	2.39E-06	0.0019		
239451_at	6.04	8.86	-7.05	2.79E-06	0.0019		
212233_at	5.88	9.27	-10.51	2.86E-06	0.0019	MAP1B	microtubule associated protein 1B
225283_at	8.58	11.67	-8.52	2.83E-06	0.0019	ARRDC4	arrestin domain containing 4
201703_s_at	9.16	6.28	7.35	2.94E-06	0.0019	PPP1R10	protein phosphatase 1, regulatory subunit 10
208056_s_at	9.94	7.13	7.04	3.07E-06	0.0019	CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3
221524_s_at	8.36	11.23	-7.31	3.01E-06	0.0019	RRAGD	Ras-related GTP binding D
223494_at	7.15	10.03	-7.36	3.07E-06	0.0019	MGEA5	meningioma expressed antigen 5 (hyaluronidase)
229441_at	9.25	6.32	7.64	3.07E-06	0.0019	PRSS23	protease, serine, 23
207655_s_at	4.74	7.61	-7.3	3.25E-06	0.0020	BLNK	B-cell linker
216449_x_at	9.96	12.72	-6.79	3.45E-06	0.0021	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1
202975_s_at	11.4	8.53	7.34	3.75E-06	0.0021	RHOBTB3	Rho-related BTB domain containing 3
205569_at	6.18	9.25	-8.35	3.67E-06	0.0021	LAMP3	lysosomal-associated membrane protein 3
208658_at	9.59	12.28	-6.44	3.82E-06	0.0021	PDIA4	protein disulfide isomerase family A, member 4
209988_s_at	8.93	4.94	15.87	3.80E-06	0.0021	ASCL1	achaete-scute family bHLH transcription factor 1
210999_s_at	6.5	9.28	-6.87	3.80E-06	0.0021	GRB10	growth factor receptor bound protein 10
211048_s_at	11.08	13.92	-7.15	3.62E-06	0.0021	PDIA4	protein disulfide isomerase family A, member 4
44783_s_at	7.9	11.84	-15.35	3.80E-06	0.0021	HEY1	hes-related family bHLH transcription factor with YRPW motif 1
227628_at	7.21	10.25	-8.24	3.61E-06	0.0021	GPX8	glutathione peroxidase 8 (putative)
240633_at	10.62	7	12.33	3.82E-06	0.0021	DOK7	docking protein 7
201739_at	8.95	5.92	8.17	3.89E-06	0.0021	SGK1	serum/glucocorticoid regulated kinase 1
205158_at	5.18	7.81	-6.2	4.32E-06	0.0021	RNASE4	ribonuclease, RNase A family, 4
206500_s_at	7.08	4.37	6.55	3.95E-06	0.0021	MIS18BP1	MIS18 binding protein 1
208785_s_at	9.77	12.44	-6.4	4.23E-06	0.0021	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta
213836_s_at	9.01	11.87	-7.3	4.26E-06	0.0021	WIPI1	WD repeat domain, phosphoinositide interacting 1
213906_at	9.01	5.18	14.24	4.15E-06	0.0021	MYBL1	v-myb avian myeloblastosis viral oncogene homolog-like 1
218839_at	6.08	10.23	-17.77	4.12E-06	0.0021	HEY1	hes-related family bHLH transcription factor with YRPW motif 1
225655_at	11.24	6.27	31.52	4.07E-06	0.0021	UHRF1	ubiquitin-like with PHD and ring finger domains 1
226860_at	9.5	5.79	13.1	4.05E-06	0.0021	TMEM19	transmembrane protein 19
227655_at	6.03	8.67	-6.22	4.24E-06	0.0021	SNHG18	small nucleolar RNA host gene 18
235425_at	9.74	6.89	7.18	4.27E-06	0.0021	SGOL2	shugoshin-like 2 (S. pombe)
236263_at	10.12	7.39	6.63	4.30E-06	0.0021	SHH	sonic hedgehog
200598_s_at	10.36	12.98	-6.15	4.42E-06	0.0022	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1
204497_at	9.73	7	6.64	4.61E-06	0.0022	ADCY9	adenylate cyclase 9
224428_s_at	9.73	6.16	11.84	4.62E-06	0.0022	CDCA7	cell division cycle associated 7
226682_at	3.69	6.77	-8.44	4.56E-06	0.0022	RORA	RAR-related orphan receptor A
204695_at	9.78	7.19	6.03	4.74E-06	0.0022	CDC25A	cell division cycle 25A
228863_at	6.81	4.21	6.05	4.73E-06	0.0022	PCDH17	protocadherin 17
204315_s_at	8.81	6.23	6.01	4.99E-06	0.0023	GTSE1	G-2 and S-phase expressed 1
224953_at	7.17	9.99	-7.06	4.99E-06	0.0023	YIPF5	Yip1 domain family member 5
244481_at	9.03	6.45	6.01	5.00E-06	0.0023		
208744_x_at	10.75	8.17	5.96	5.11E-06	0.0023	HSPH1	heat shock 105kDa/110kDa protein 1
232150_at	6.9	9.61	-6.56	5.19E-06	0.0023		
201368_at	11.9	9.26	6.23	5.31E-06	0.0024	ZFP36L2	ZFP36 ring finger protein-like 2
1564494_s_at	9.08	11.64	-5.9	5.30E-06	0.0024	P4HB	prolyl 4-hydroxylase, beta polypeptide
201250_s_at	8.88	11.45	-5.93	5.39E-06	0.0024	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1
201009_s_at	9.63	12.15	-5.75	5.72E-06	0.0024	TXNIP	thioredoxin interacting protein
201010_s_at	10.78	13.54	-6.76	5.65E-06	0.0024	TXNIP	thioredoxin interacting protein
204318_s_at	7.8	5.27	5.75	5.78E-06	0.0024	GTSE1	G-2 and S-phase expressed 1
209457_at	6.29	9.08	-6.89	5.59E-06	0.0024	DUSP5	dual specificity phosphatase 5
230738_at	9.26	6.59	6.36	5.76E-06	0.0024		
235419_at	6.59	9.21	-6.14	5.66E-06	0.0024		
236429_at	6.6	4.08	5.74	5.77E-06	0.0024		
241985_at	6.6	9.15	-5.88	5.48E-06	0.0024	JMY	junction mediating and regulatory protein, p53 cofactor
202458_at	12.84	10.11	6.61	6.10E-06	0.0024	PRSS23	protease, serine, 23
204029_at	10.04	7.39	6.29	6.02E-06	0.0024	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2
213390_at	11.54	8.82	6.59	6.13E-06	0.0024	ZC3H4	zinc finger CCCH-type containing 4
214430_at	12.14	9.53	6.07	6.07E-06	0.0024	GLA	galactosidase, alpha
219978_s_at	7.83	5.24	6.01	6.04E-06	0.0024	NUSAP1	nucleolar and spindle associated protein 1
221577_x_at	10.77	13.32	-5.84	6.03E-06	0.0024	GDF15	growth differentiation factor 15
231240_at	7.74	5.24	5.66	6.08E-06	0.0024	DIO2	deiodinase, iodothyronine, type II
208165_s_at	6.48	9.47	-7.97	6.19E-06	0.0024	PRSS16	protease, serine, 16 (thymus)
226420_at	6.68	4.18	5.63	6.22E-06	0.0024	MECOM	MDS1 and EVI1 complex locus
235350_at	9.9	6.91	7.95	6.33E-06	0.0024	C4orf19	chromosome 4 open reading frame 19
219090_at	8.86	6.36	5.64	6.42E-06	0.0024	SLC24A3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
226535_at	8.05	5.2	7.25	6.39E-06	0.0024	ITGB6; LOC100505984	integrin beta 6; uncharacterized LOC100505984
210026_s_at	9.24	6.76	5.57	6.50E-06	0.0024	CARD10	caspase recruitment domain family, member 10
202948_at	7.79	5.07	6.56	6.56E-06	0.0025	IL1R1	interleukin 1 receptor, type I
203857_s_at	8.98	11.45	-5.54	6.65E-06	0.0025	PDIA5	protein disulfide isomerase family A, member 5
209357_at	8.52	10.99	-5.54	6.63E-06	0.0025	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 2
201702_s_at	9.18	6.34	7.2	6.98E-06	0.0025	PPP1R10	protein phosphatase 1, regulatory subunit 10
203725_at	8.97	11.86	-7.45	7.23E-06	0.0025	GADD45A	growth arrest and DNA-damage-inducible, alpha
205749_at	8.8	11.81	-8.08	7.10E-06	0.0025	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1
209790_s_at	9.33	6.89	5.44	7.14E-06	0.0025	CASP6	caspase 6
210587_at	4.23	8.25	-16.21	6.86E-06	0.0025	INHBE	inhibin beta E
211458_s_at	7.37	9.83	-5.51	6.77E-06	0.0025	GABARAPL1; GABARAPL3	GABA(A) receptor-associated protein like 1; GABA(A) receptors associated protein like 3, pseudogene
218358_at	10.92	13.39	-5.55	6.93E-06	0.0025	CRELD2	cysteine rich with EGF-like domains 2
226348_at	7.95	10.9	-7.71	7.32E-06	0.0025	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
226750_at	7.89	10.93	-8.18	6.93E-06	0.0025	LARP1B	La ribonucleoprotein domain family, member 1B
228483_s_at	6.22	8.78	-5.9	7.15E-06	0.0025	TAF9B	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa
238005_s_at	8.43	5.72	6.55	7.08E-06	0.0025	SIN3A	SIN3 transcription regulator family member A
242669_at	6.78	9.6	-7.06	7.31E-06	0.0025	UFM1	ubiquitin-fold modifier 1
242725_at	6.51	9.01	-5.64	6.82E-06	0.0025		
1554452_a_at	9.01	12.28	-9.64	7.32E-06	0.0025	HILPDA	hypoxia inducible lipid droplet-associated
202094_at	9.27	6.71	5.9	7.50E-06	0.0025	BIRC5	baculoviral IAP repeat containing 5
1560622_at	6.88	9.41	-5.79	7.58E-06	0.0025		
204979_s_at	7.72	10.14	-5.35	7.84E-06	0.0026	SH3BGR	SH3 domain binding glutamate-rich protein
220922_s_at	10.2	7.58	6.14	7.92E-06	0.0026	LOC105369237; SPANXA1; SPANXA2; SPANXB1; SPANXC	sperm protein associated with the nucleus on the X chromosome B/F; sperm protein associated with the nucleus, X-linked, family member A1; SPANX family, member A2; SPANX family, member B1; SPANX family, member C
222316_at	5.23	8.04	-7.02	7.81E-06	0.0026		
222632_s_at	6.81	9.25	-5.43	7.80E-06	0.0026	LZTFL1	leucine zipper transcription factor like 1
231233_at	7.68	10.11	-5.4	7.93E-06	0.0026	PCAT6	prostate cancer associated transcript 6 (non-protein coding)
200880_at	11.01	8.61	5.3	8.00E-06	0.0026	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1
200825_s_at	10.4	12.78	-5.24	8.32E-06	0.0026	HYOU1	hypoxia up-regulated 1
201555_at	10.78	7.75	8.15	8.59E-06	0.0026	MCM3	minichromosome maintenance complex component 3
203378_at	8.33	5.47	7.25	8.59E-06	0.0026	PCF11	PCF11 cleavage and polyadenylation factor subunit
205296_at	7.41	4.84	5.91	8.21E-06	0.0026	RBL1	retinoblastoma-like 1
208712_at	11.52	9.12	5.29	8.17E-06	0.0026	CCND1	cyclin D1
214804_at	7.62	4.65	7.81	8.37E-06	0.0026	CENPI	centromere protein I
218418_s_at	10.75	8.17	6	8.53E-06	0.0026	KANK2	KN motif and ankyrin repeat domains 2
221478_at	9.78	12.9	-8.67	8.42E-06	0.0026	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like
225750_at	9.7	12.71	-8.06	8.39E-06	0.0026	ERO1A	endoplasmic reticulum oxidoreductase alpha
229492_at	9.35	6.68	6.36	8.47E-06	0.0026	VANGL1	VANGL planar cell polarity protein 1
1558738_at	5.87	8.32	-5.45	8.36E-06	0.0026	NOL3	nucleolar protein 3 (apoptosis repressor with CARD domain)
205741_s_at	9.05	11.57	-5.73	8.85E-06	0.0026	DTNA	dystrobrevin, alpha
208624_s_at	10.61	8.19	5.36	8.67E-06	0.0026	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1
209258_s_at	8.57	5.49	8.49	8.78E-06	0.0026	SMC3	structural maintenance of chromosomes 3
210139_s_at	11.33	8.78	5.86	8.88E-06	0.0026	PMP22	peripheral myelin protein 22
230075_at	4.9	8.32	-10.65	8.79E-06	0.0026	RAB39B	RAB39B, member RAS oncogene family
242300_at	7.95	5.57	5.18	8.70E-06	0.0026		
223193_x_at	10.79	13.5	-6.53	8.94E-06	0.0026	FAM162A	family with sequence similarity 162, member A
225978_at	7.49	5.12	5.14	9.02E-06	0.0026	RIMKLB	ribosomal modification protein rimK-like family member B
226347_at	7.86	10.9	-8.21	9.02E-06	0.0026		
239431_at	5.69	8.68	-7.96	9.07E-06	0.0026	TICAM2; TMED7-TICAM2	toll-like receptor adaptor molecule 2; TMED7-TICAM2 readthrough
227289_at	7.28	4.89	5.21	9.18E-06	0.0026	PCDH17	protocadherin 17
212660_at	9.77	7.2	5.91	9.29E-06	0.0026	JADE2	jade family PHD finger 2
228213_at	7.69	5.26	5.37	9.40E-06	0.0026	H2AFJ	H2A histone family, member J
218564_at	9.8	7.22	5.97	9.64E-06	0.0027	RFWD3	ring finger and WD repeat domain 3
223307_at	10.29	7.77	5.76	9.61E-06	0.0027	CDCA3	cell division cycle associated 3
231382_at	7.4	5.06	5.03	9.83E-06	0.0027	FGF18	fibroblast growth factor 18
200754_x_at	13.08	10.73	5.07	1.05E-05	0.0027	SRSF2	serine/arginine-rich splicing factor 2
201183_s_at	10.51	8.01	5.66	1.05E-05	0.0027	CHD4	chromodomain helicase DNA binding protein 4
201925_s_at	8.64	11.25	-6.1	1.02E-05	0.0027	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)
203625_x_at	9.87	7.35	5.72	1.02E-05	0.0027	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase
207813_s_at	7.37	9.68	-4.98	1.02E-05	0.0027	FDXR	ferredoxin reductase
217790_s_at	7.14	9.45	-4.96	1.06E-05	0.0027	SSR3	signal sequence receptor, gamma (translocon-associated protein gamma)
37028_at	6.96	9.27	-4.96	1.05E-05	0.0027	PPP1R15A	protein phosphatase 1, regulatory subunit 15A
45633_at	8.44	5.7	6.67	1.01E-05	0.0027	GINS3	GINS complex subunit 3 (Psf3 homolog)
226150_at	8.98	11.37	-5.26	1.06E-05	0.0027	PLPP5	phospholipid phosphatase 5
227285_at	7.24	9.81	-5.92	1.02E-05	0.0027	CIART	circadian associated repressor of transcription
227629_at	9.37	6.95	5.38	1.06E-05	0.0027	PRLR	prolactin receptor
229126_at	7.7	5.3	5.28	1.00E-05	0.0027	TMEM19	transmembrane protein 19
231835_at	8.54	6.21	5.04	1.06E-05	0.0027	FAM213B	family with sequence similarity 213, member B
242828_at	7.96	5.47	5.6	1.03E-05	0.0027	FIGN	fidgetin
1565867_a_at	7.07	4.72	5.1	1.02E-05	0.0027	LOC441155; ZC3H11A	zinc finger CCCH-type domain-containing-like; zinc finger CCCH-type containing 11A
205909_at	9.98	6.75	9.38	1.08E-05	0.0028	POLE2	polymerase (DNA directed), epsilon 2, accessory subunit
222646_s_at	10.94	13.49	-5.84	1.08E-05	0.0028	ERO1A	endoplasmic reticulum oxidoreductase alpha
210174_at	7.07	4.56	5.67	1.09E-05	0.0028	NR5A2	nuclear receptor subfamily 5, group A, member 2
224763_at	6.68	9	-4.99	1.09E-05	0.0028	LOC100506548; RPL37	uncharacterized LOC100506548; ribosomal protein L37
225626_at	5.61	7.94	-5.05	1.09E-05	0.0028	PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1
212126_at	10	7.55	5.46	1.11E-05	0.0028	CBX5	chromobox homolog 5
218308_at	9.56	7.19	5.15	1.11E-05	0.0028	TACC3	transforming, acidic coiled-coil containing protein 3
36499_at	10.46	7.91	5.88	1.10E-05	0.0028	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2
208581_x_at	10.64	13.02	-5.2	1.14E-05	0.0028	MT1X	metallothionein 1X
215209_at	4.17	6.51	-5.06	1.14E-05	0.0028	SEC24D	SEC24 homolog D, COPII coat complex component
220085_at	9.13	5.15	15.81	1.14E-05	0.0028	HELLS	helicase, lymphoid-specific
57588_at	8.52	6.09	5.39	1.13E-05	0.0028	SLC24A3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
238529_at	8.06	5.76	4.91	1.12E-05	0.0028		
212915_at	7.12	4.84	4.85	1.15E-05	0.0028	PDZRN3	PDZ domain containing ring finger 3
212151_at	10.68	8	6.41	1.17E-05	0.0028	PBX1	pre-B-cell leukemia homeobox 1
1555826_at	10.53	8.11	5.37	1.19E-05	0.0029	BIRC5	baculoviral IAP repeat containing 5
212665_at	9.15	11.42	-4.81	1.20E-05	0.0029	TIPARP	TCDD-inducible poly(ADP-ribose) polymerase
200628_s_at	9.04	11.82	-6.9	1.21E-05	0.0029	WARS	tryptophanyl-tRNA synthetase
214659_x_at	8.85	6	7.21	1.21E-05	0.0029	YLPM1	YLP motif containing 1
209301_at	10.5	8.24	4.78	1.25E-05	0.0029	CA2	carbonic anhydrase II
214624_at	6.4	8.67	-4.81	1.24E-05	0.0029	UPK1A	uroplakin 1A
233059_at	7.91	5.53	5.21	1.24E-05	0.0029	KCNJ3	potassium channel, inwardly rectifying subfamily J, member 3
202364_at	8.12	10.84	-6.59	1.28E-05	0.0030	MXI1	MAX interactor 1, dimerization protein
224909_s_at	11.46	8.58	7.4	1.28E-05	0.0030	PREX1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1
226941_at	7.43	9.69	-4.78	1.28E-05	0.0030	ATF6	activating transcription factor 6
239710_at	7.38	4.74	6.22	1.29E-05	0.0030	FIGN	fidgetin
202107_s_at	12.22	9.52	6.53	1.31E-05	0.0030	MCM2	minichromosome maintenance complex component 2
202887_s_at	10.36	12.89	-5.79	1.38E-05	0.0030	DDIT4	DNA damage inducible transcript 4
203368_at	7.24	9.57	-5.02	1.35E-05	0.0030	CRELD1	cysteine rich with EGF-like domains 1
205386_s_at	6.13	8.42	-4.9	1.31E-05	0.0030	MDM2	MDM2 proto-oncogene, E3 ubiquitin protein ligase
212105_s_at	6.67	4.39	4.86	1.34E-05	0.0030	DHX9	DEAH (Asp-Glu-Ala-His) box helicase 9
212171_x_at	8.06	10.49	-5.4	1.39E-05	0.0030	VEGFA	vascular endothelial growth factor A
213629_x_at	8.58	10.93	-5.07	1.29E-05	0.0030	MT1F	metallothionein 1F
214683_s_at	7.35	9.6	-4.76	1.30E-05	0.0030	CLK1	CDC like kinase 1
217168_s_at	9.08	12.3	-9.34	1.37E-05	0.0030	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
220091_at	8.55	6.31	4.73	1.39E-05	0.0030	SLC2A6	solute carrier family 2 (facilitated glucose transporter), member 6
36711_at	7.9	10.45	-5.86	1.37E-05	0.0030	MAFF	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F
38158_at	10.58	8.15	5.38	1.34E-05	0.0030	ESPL1	extra spindle pole bodies like 1, separase
222883_at	8.38	6.14	4.7	1.32E-05	0.0030	COA7	cytochrome c oxidase assembly factor 7 (putative)
223722_at	5.57	7.9	-5.02	1.38E-05	0.0030	DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12
225284_at	9.7	12.57	-7.33	1.38E-05	0.0030	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3
225732_at	9.43	7.18	4.78	1.38E-05	0.0030	KLHL42	kelch-like family member 42
231810_at	10.94	8.32	6.12	1.35E-05	0.0030	BRI3BP; THRIL	BRI3 binding protein; TNF and HNRNPL related immunoregulatory long non-coding RNA
241986_at	6.36	3.89	5.52	1.39E-05	0.0030	BMPER	BMP binding endothelial regulator
1555420_a_at	6.38	8.59	-4.65	1.39E-05	0.0030	KLF7	Kruppel-like factor 7 (ubiquitous)
202240_at	9.25	7.04	4.65	1.41E-05	0.0030	PLK1	polo-like kinase 1
208343_s_at	5.8	3.5	4.9	1.42E-05	0.0030	NR5A2	nuclear receptor subfamily 5, group A, member 2
211985_s_at	11.3	8.85	5.47	1.42E-05	0.0030	CALM1; CALM2	calmodulin 1 (phosphorylase kinase, delta); calmodulin 2 (phosphorylase kinase, delta)
220241_at	5.14	8.46	-9.94	1.44E-05	0.0030	TMCO3	transmembrane and coiled-coil domains 3
