ID	Normoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
226670_s_at	8.08	10.44	-5.13	8.25E-07	0.0002	PABPC1L	poly(A) binding protein, cytoplasmic 1-like
239710_at	7.38	4.85	5.8	8.30E-07	0.0002	FIGN	fidgetin
233827_s_at	10.31	7.71	6.07	8.61E-07	0.0002	SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit
203675_at	9.11	11.77	-6.3	8.82E-07	0.0002	NUCB2	nucleobindin 2
207543_s_at	10.14	13.38	-9.45	8.85E-07	0.0002	P4HA1	prolyl 4-hydroxylase, alpha polypeptide I
207655_s_at	4.74	7.54	-6.96	8.93E-07	0.0002	BLNK	B-cell linker
210139_s_at	11.33	8.96	5.17	8.95E-07	0.0002	PMP22	peripheral myelin protein 22
225717_at	6.37	9.18	-7.02	8.94E-07	0.0002	KIAA1715	KIAA1715
1558256_at	5.2	7.76	-5.91	9.09E-07	0.0002	LINC00662	long intergenic non-protein coding RNA 662
213131_at	9.55	7.22	5.01	9.23E-07	0.0002	OLFM1	olfactomedin 1
200880_at	11.01	8.67	5.08	9.34E-07	0.0002	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1
221497_x_at	6.29	8.83	-5.83	9.38E-07	0.0002	EGLN1	egl-9 family hypoxia-inducible factor 1
228778_at	6.67	9.04	-5.15	9.40E-07	0.0002	MCPH1	microcephalin 1
225978_at	7.49	5.16	5	9.49E-07	0.0002	RIMKLB	ribosomal modification protein rimK-like family member B
202722_s_at	10.01	12.35	-5.07	9.74E-07	0.0002	GFPT1	glutamine--fructose-6-phosphate transaminase 1
223310_x_at	9.62	12.07	-5.48	9.75E-07	0.0002	PNPLA8	patatin-like phospholipase domain containing 8
238647_at	8.59	10.95	-5.13	9.80E-07	0.0002	C14orf28	chromosome 14 open reading frame 28
1558738_at	5.87	8.3	-5.39	1.00E-06	0.0002	NOL3	nucleolar protein 3 (apoptosis repressor with CARD domain)
224632_at	9.25	6.9	5.1	1.02E-06	0.0002	GPATCH4	G-patch domain containing 4
202458_at	12.84	9.73	8.59	1.02E-06	0.0002	PRSS23	protease, serine, 23
202655_at	10.7	12.98	-4.87	1.05E-06	0.0002	MANF	mesencephalic astrocyte-derived neurotrophic factor
205792_at	8.23	10.51	-4.85	1.05E-06	0.0002	WISP2	WNT1 inducible signaling pathway protein 2
45633_at	8.44	6	5.41	1.06E-06	0.0002	GINS3	GINS complex subunit 3 (Psf3 homolog)
223722_at	5.57	8.14	-5.93	1.06E-06	0.0002	DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12
228262_at	4.18	8.34	-17.85	1.04E-06	0.0002	MAP7D2	MAP7 domain containing 2
231824_at	5.36	7.67	-4.97	1.06E-06	0.0002	LARP1B	La ribonucleoprotein domain family, member 1B
205741_s_at	9.05	11.57	-5.72	1.08E-06	0.0002	DTNA	dystrobrevin, alpha
221203_s_at	7.57	9.85	-4.87	1.08E-06	0.0002	YEATS2	YEATS domain containing 2
228099_at	7.93	10.3	-5.18	1.08E-06	0.0002	ZNF550	zinc finger protein 550
202107_s_at	12.22	9.83	5.25	1.11E-06	0.0002	MCM2	minichromosome maintenance complex component 2
227289_at	7.28	4.7	5.95	1.12E-06	0.0002	PCDH17	protocadherin 17
203625_x_at	9.87	7.36	5.68	1.19E-06	0.0002	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase
205122_at	6.08	8.47	-5.25	1.17E-06	0.0002	MSANTD3-TMEFF1; TMEFF1	MSANTD3-TMEFF1 readthrough; transmembrane protein with EGF-like and two follistatin-like domains 1
205281_s_at	8.34	11.09	-6.73	1.19E-06	0.0002	PIGA	phosphatidylinositol glycan anchor biosynthesis class A
212368_at	8.43	10.69	-4.79	1.15E-06	0.0002	ZNF292	zinc finger protein 292
215719_x_at	4.11	6.57	-5.5	1.17E-06	0.0002	FAS	Fas cell surface death receptor
224759_s_at	9.93	12.7	-6.85	1.17E-06	0.0002	TMEM263	transmembrane protein 263
224763_at	6.68	8.98	-4.95	1.18E-06	0.0002	LOC100506548; RPL37	uncharacterized LOC100506548; ribosomal protein L37
226275_at	9.08	11.33	-4.75	1.17E-06	0.0002	MXD1	MAX dimerization protein 1
228213_at	7.69	5.28	5.32	1.15E-06	0.0002	H2AFJ	H2A histone family, member J
228969_at	8.12	10.37	-4.78	1.15E-06	0.0002	AGR2	anterior gradient 2, protein disulphide isomerase family member
237052_x_at	6.09	8.34	-4.74	1.18E-06	0.0002	GIGYF2	GRB10 interacting GYF protein 2
202710_at	8.99	11.25	-4.79	1.20E-06	0.0003	BET1	Bet1 golgi vesicular membrane trafficking protein
201133_s_at	8.99	11.35	-5.15	1.22E-06	0.0003	PJA2	praja ring finger 2, E3 ubiquitin protein ligase
218358_at	10.92	13.33	-5.32	1.22E-06	0.0003	CRELD2	cysteine rich with EGF-like domains 2
227719_at	5.29	8.52	-9.36	1.22E-06	0.0003	SMAD9	SMAD family member 9
