ID	Normoxia Avg (log2)	Hypoxia Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
208930_s_at	9.8	7.69	4.31	0.0000271	0.0094	ILF3	interleukin enhancer binding factor 3
217951_s_at	6.62	5.4	2.34	0.0000274	0.0095	PHF3	PHD finger protein 3
1552622_s_at	6.73	5.44	2.46	0.0000277	0.0095	LOC105379744; LOC441259; PMS2P5; POLR2J2; POLR2J3	uncharacterized LOC105379744; PMS1 homolog 2, mismatch repair system component pseudogene; PMS1 homolog 2, mismatch repair system component pseudogene 5; polymerase (RNA) II (DNA directed) polypeptide J2; polymerase (RNA) II (DNA directed) polypeptide J3
219558_at	7.28	6.1	2.27	0.0000279	0.0095	ATP13A3	ATPase type 13A3
223701_s_at	6.37	5.19	2.27	0.0000281	0.0095	USP47	ubiquitin specific peptidase 47
1557081_at	7.12	5.89	2.35	0.0000289	0.0097	RBM25	RNA binding motif protein 25
219262_at	5.91	4.58	2.52	0.0000305	0.0102	SUV39H2	suppressor of variegation 3-9 homolog 2 (Drosophila)
202770_s_at	8.26	10.02	-3.38	0.0000332	0.011	CCNG2	cyclin G2
208621_s_at	8.07	6.89	2.25	0.0000333	0.011	EZR	ezrin
235266_at	8.11	6.95	2.24	0.0000331	0.011	ATAD2	ATPase family, AAA domain containing 2
224567_x_at	11.7	8.58	8.71	0.0000336	0.011	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
201793_x_at	7.83	6.22	3.06	0.0000363	0.0116	SMG7	SMG7 nonsense mediated mRNA decay factor
204315_s_at	8.81	7.4	2.67	0.0000359	0.0116	GTSE1	G-2 and S-phase expressed 1
212106_at	8.44	7.29	2.22	0.0000366	0.0116	FAF2	Fas associated factor family member 2
215434_x_at	10.14	8.6	2.92	0.0000358	0.0116	LOC102724250; NBPF1; NBPF10; NBPF19	neuroblastoma breakpoint family member 1; neuroblastoma breakpoint family, member 1; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 19
232940_s_at	7.22	6.02	2.3	0.0000365	0.0116	KMT2C	lysine (K)-specific methyltransferase 2C
1554821_a_at	6.37	5.21	2.23	0.0000368	0.0116	ZBED1	zinc finger, BED-type containing 1
1555920_at	7.17	5.74	2.69	0.0000379	0.0119	CBX3	chromobox homolog 3
200906_s_at	7.56	6.42	2.21	0.0000388	0.012	PALLD	palladin, cytoskeletal associated protein
221503_s_at	9.44	8.27	2.24	0.0000388	0.012	KPNA3	karyopherin alpha 3 (importin alpha 4)
201711_x_at	8.82	7.61	2.31	0.0000401	0.0124	RANBP2	RAN binding protein 2
222540_s_at	10.15	9.02	2.2	0.0000409	0.0125	RSF1	remodeling and spacing factor 1
202936_s_at	7.27	8.9	-3.08	0.0000418	0.0127	SOX9	SRY box 9
238346_s_at	7.87	6.74	2.19	0.0000419	0.0127	TGS1	trimethylguanosine synthase 1
225420_at	7.76	6.63	2.19	0.0000424	0.0128	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial
209088_s_at	10.36	8.85	2.85	0.0000429	0.0128	UBN1	ubinuclein 1
33148_at	6.71	5.17	2.91	0.000043	0.0128	ZFR	zinc finger RNA binding protein
214683_s_at	7.35	8.56	-2.32	0.0000437	0.013	CLK1	CDC like kinase 1
233078_at	6.78	5.46	2.5	0.0000442	0.013	API5	apoptosis inhibitor 5
66053_at	7.84	6.66	2.25	0.0000452	0.0133	HNRNPUL2; HNRNPUL2-BSCL2	heterogeneous nuclear ribonucleoprotein U-like 2; HNRNPUL2-BSCL2 readthrough (NMD candidate)
210057_at	5.02	3.65	2.59	0.0000458	0.0134	SMG1	SMG1 phosphatidylinositol 3-kinase-related kinase
229396_at	8.55	9.76	-2.3	0.0000471	0.0137	OVOL1	ovo-like zinc finger 1
235172_at	5.07	3.95	2.17	0.0000486	0.014		
229999_at	5.84	6.96	-2.18	0.0000492	0.0141	RBMX	RNA binding motif protein, X-linked
235977_at	7.18	6.06	2.17	0.0000495	0.0142	LONRF2	LON peptidase N-terminal domain and ring finger 2
242725_at	6.51	7.63	-2.17	0.0000498	0.0142		
243168_at	5.62	4.42	2.3	0.0000515	0.0146		
241755_at	5.69	4.56	2.2	0.0000552	0.0155	UQCRC2	ubiquinol-cytochrome c reductase core protein II
1568618_a_at	10.97	9.84	2.18	0.0000565	0.0158	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1
226348_at	7.95	9.97	-4.05	0.0000572	0.0159	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
205210_at	8.35	7.26	2.13	0.0000626	0.0174	TGFBRAP1	transforming growth factor beta receptor associated protein 1
201249_at	4.89	5.98	-2.12	0.0000643	0.0175	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1
202672_s_at	7.14	8.88	-3.34	0.000064	0.0175	ATF3	activating transcription factor 3
204840_s_at	4.75	3.61	2.2	0.0000652	0.0175	EEA1	early endosome antigen 1
205749_at	8.8	9.88	-2.12	0.0000647	0.0175	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1
213067_at	7.57	6.49	2.12	0.0000652	0.0175	MYH10	myosin, heavy chain 10, non-muscle
223984_s_at	5.62	4.52	2.14	0.0000652	0.0175	NUP58	nucleoporin 58kDa
208744_x_at	10.75	9.67	2.11	0.0000668	0.0175	HSPH1	heat shock 105kDa/110kDa protein 1
209007_s_at	8.74	9.83	-2.13	0.0000667	0.0175	RSRP1	arginine/serine-rich protein 1
212417_at	9.71	8.63	2.12	0.0000662	0.0175	SCAMP1	secretory carrier membrane protein 1
213668_s_at	9.56	8.42	2.2	0.0000664	0.0175	SOX4	SRY box 4
217813_s_at	9.52	8.24	2.42	0.0000658	0.0175	SPIN1	spindlin 1
212113_at	8.07	6.99	2.11	0.0000675	0.0176	ATXN7L3B	ataxin 7-like 3B
226552_at	9.59	10.66	-2.11	0.0000688	0.0178	IER5L	immediate early response 5-like
227152_at	5.43	4.35	2.11	0.0000689	0.0178	KIAA1551	KIAA1551
221745_at	8.94	7.51	2.68	0.0000693	0.0179	DCAF7	DDB1 and CUL4 associated factor 7
239392_s_at	7.77	6.67	2.13	0.0000697	0.0179	POGK	pogo transposable element with KRAB domain
211074_at	10.61	9.52	2.13	0.0000704	0.018		
229399_at	6.68	4.56	4.35	0.0000723	0.0184	CCDC186	coiled-coil domain containing 186
209201_x_at	7.32	8.49	-2.26	0.0000728	0.0184	CXCR4	chemokine (C-X-C motif) receptor 4
201728_s_at	7.97	6.86	2.16	0.0000744	0.0186	KIAA0100	KIAA0100
235653_s_at	6.91	5.75	2.24	0.0000744	0.0186	THAP6	THAP domain containing 6
225937_at	5.83	4.71	2.18	0.0000767	0.0191	CUX1	cut-like homeobox 1
206114_at	8.91	7.81	2.14	0.0000853	0.0208	EPHA4	EPH receptor A4
211947_s_at	9.65	7.51	4.42	0.0000859	0.0208	PRRC2C	proline-rich coiled-coil 2C
212979_s_at	8.78	7.54	2.36	0.0000853	0.0208	TCAF1	TRPM8 channel-associated factor 1
226347_at	7.86	9.74	-3.66	0.0000847	0.0208		
230746_s_at	7.81	9.05	-2.36	0.0000839	0.0208		
1553575_at	11.29	10.21	2.12	0.0000854	0.0208	ND6	NADH dehydrogenase, subunit 6 (complex I)
1557128_at	6.78	5.73	2.08	0.0000856	0.0208	FAM111B	family with sequence similarity 111, member B
210562_at	5.65	4.52	2.19	0.0000872	0.021	GREB1	growth regulation by estrogen in breast cancer 1
1557963_at	7.44	6.28	2.22	0.0000928	0.0222	CDC42BPB	CDC42 binding protein kinase beta (DMPK-like)
201041_s_at	9.33	10.38	-2.07	0.0000941	0.0224	DUSP1	dual specificity phosphatase 1
223578_x_at	7.59	6.36	2.36	0.0000945	0.0224		
202393_s_at	9.79	10.83	-2.06	0.0000968	0.0229	KLF10	Kruppel-like factor 10
211116_at	6.6	5.5	2.13	0.0000974	0.0229	SLC9A2	solute carrier family 9, subfamily A (NHE2, cation proton antiporter 2), member 2
224943_at	7.89	6.77	2.17	0.0000986	0.0231	BTBD7	BTB (POZ) domain containing 7
211721_s_at	6.17	5.13	2.05	0.0000994	0.0232	ZNF551	zinc finger protein 551
225434_at	8.12	9.17	-2.07	0.0001	0.0233	DEDD2	death effector domain containing 2
235216_at	6.01	4.99	2.04	0.0001	0.0238	ESCO1	establishment of sister chromatid cohesion N-acetyltransferase 1
208835_s_at	11.03	9.84	2.29	0.0001	0.0241	LUC7L3	LUC7-like 3 pre-mRNA splicing factor
228408_s_at	9.42	8.38	2.06	0.0001	0.0242	SDAD1	SDA1 domain containing 1
202859_x_at	8.44	9.81	-2.58	0.0001	0.0245	CXCL8	chemokine (C-X-C motif) ligand 8
211527_x_at	4.94	5.98	-2.06	0.0001	0.0245	VEGFA	vascular endothelial growth factor A
1554447_at	5.74	4.67	2.1	0.0001	0.0245	JPX	JPX transcript, XIST activator (non-protein coding)
1569472_s_at	4.77	3.74	2.05	0.0001	0.0245	TTC3	tetratricopeptide repeat domain 3
1553122_s_at	5.71	4.41	2.45	0.0001	0.0247	RBAK	RB-associated KRAB zinc finger
203215_s_at	10.27	8.54	3.31	0.0001	0.0247	MYO6	myosin VI
211919_s_at	7.18	8.23	-2.07	0.0001	0.0247	CXCR4	chemokine (C-X-C motif) receptor 4
235955_at	7.87	6.84	2.04	0.0001	0.025	MARVELD2	MARVEL domain containing 2
212095_s_at	8.2	7.02	2.27	0.0001	0.0251	MTUS1	microtubule associated tumor suppressor 1
212468_at	7.74	6.71	2.04	0.0001	0.0255	SPAG9	sperm associated antigen 9
227452_at	6.32	7.37	-2.08	0.0001	0.0255	LINC00511; LINC00673	long intergenic non-protein coding RNA 511; long intergenic non-protein coding RNA 673
220940_at	5.32	4.31	2.02	0.0001	0.0258	ANKRD36B	ankyrin repeat domain 36B
238430_x_at	9.34	8.33	2.02	0.0001	0.0266	SLFN5	schlafen family member 5
242024_at	5.3	4.14	2.24	0.0001	0.0268		
243489_at	8.32	7.3	2.02	0.0001	0.027		
202975_s_at	11.4	10.39	2.02	0.0001	0.0274	RHOBTB3	Rho-related BTB domain containing 3
224828_at	7.18	6.18	2.01	0.0001	0.0274	CPEB4	cytoplasmic polyadenylation element binding protein 4
213517_at	7.98	6.7	2.44	0.0001	0.0279	PCBP2	poly(rC) binding protein 2
220174_at	7.13	6.11	2.02	0.0001	0.0279	LRRC8E	leucine rich repeat containing 8 family, member E
223846_at	5.2	6.21	-2.02	0.0001	0.0279	AZI2	5-azacytidine induced 2
218521_s_at	7.91	6.91	2	0.0001	0.0285	UBE2W	ubiquitin-conjugating enzyme E2W (putative)
241955_at	7.4	6.37	2.05	0.0001	0.0285	HECTD1	HECT domain containing E3 ubiquitin protein ligase 1
