ID	Normoxia.Avg..log2.	Hypoxia.Avg..log2.	Fold.Change	P.val	FDR.P.val	Gene.Symbol	Description
1558212_at	5.48	7.31	-3.55	8.27e-05	0.0227	VLDLR-AS1	VLDLR antisense RNA 1
1558256_at	5.2	7.54	-5.06	1e-04	0.0072	LINC00662	long intergenic non-protein coding RNA 662
1558290_a_at	8.15	9.18	-2.04	6e-04	0.0088	PVT1	Pvt1 oncogene (non-protein coding)
1558292_s_at	8.76	7.83	1.91	5e-04	0.0078	PIGW	phosphatidylinositol glycan anchor biosynthesis class W
1558304_s_at	10.34	8.9	2.72	5.27e-05	0.0017	TSEN54	TSEN54 tRNA splicing endonuclease subunit
1558329_at	7.41	6.75	1.58	0.0041	0.0334	TONSL	tonsoku-like, DNA repair protein
1558487_a_at	8.45	7.56	1.85	9e-04	0.0114	TMED4	transmembrane p24 trafficking protein 4
1558685_a_at	9.07	8.39	1.59	0.0055	0.0418	CH17-340M24.3	uncharacterized protein BC009467
1558750_a_at	6.21	5.16	2.07	0.0034	0.0474	ARHGAP11B; LOC100288637	Rho GTPase activating protein 11B; OTU deubiquitinase 7A pseudogene
1558801_at	5.77	4.74	2.05	5e-04	0.0071	NNT-AS1	NNT antisense RNA 1
1558942_at	8.8	7.89	1.87	9e-04	0.0113	ZNF765	zinc finger protein 765
1558956_s_at	8.16	9.58	-2.68	4.94e-05	0.0017	IFT80	intraflagellar transport 80
1559009_at	5.29	4.65	1.55	0.0061	0.045	LOC101928504	uncharacterized LOC101928504
1559026_at	5.52	4.77	1.68	0.0032	0.0283	PPP1R26-AS1	PPP1R26 antisense RNA 1
1559266_s_at	6.38	4.87	2.85	2.15e-05	0.001	SKIDA1	SKI/DACH domain containing 1
1559510_at	4.49	5.31	-1.77	0.0035	0.0301	LINC00630	long intergenic non-protein coding RNA 630
1559827_at	7.52	8.94	-2.67	4.6e-05	0.0016	LINC00960	long intergenic non-protein coding RNA 960
1560477_a_at	6.87	6.28	1.51	0.0069	0.0491	SAMD11	sterile alpha motif domain containing 11
1560587_s_at	11.5	12.27	-1.71	0.0019	0.0194	PRDX5	peroxiredoxin 5
1560648_s_at	5.65	4.51	2.19	0.0012	0.0255	TSPYL1	TSPY-like 1
1561666_a_at	8.1	6.82	2.43	7e-04	0.019	PSMG3-AS1	PSMG3 antisense RNA 1 (head to head)
1561942_x_at	6.19	5.32	1.83	0.0011	0.0134	ERVK13-1	endogenous retrovirus group K13, member 1
1562484_at	4.86	4.04	1.76	0.0012	0.0137	MEIOC	meiosis specific with coiled-coil domain
1562848_at	4.83	5.53	-1.63	0.003	0.027	IST1	increased sodium tolerance 1 homolog (yeast)
1565867_a_at	7.07	4.91	4.49	5.01e-05	0.0402	LOC441155; ZC3H11A	zinc finger CCCH-type domain-containing-like; zinc finger CCCH-type containing 11A
1565951_s_at	7.94	7.23	1.63	0.0031	0.0276	CHML	choroideremia-like (Rab escort protein 2)
1566257_at	4.65	5.5	-1.8	0.0014	0.0152	GPR180	G protein-coupled receptor 180
1566403_at	5.2	4.45	1.67	0.004	0.033	RPL18A; SNORA68	ribosomal protein L18a; small nucleolar RNA, H/ACA box 68
1568629_s_at	10.64	9.86	1.71	0.0023	0.0223	PIK3R2	phosphoinositide-3-kinase, regulatory subunit 2 (beta)
1568873_at	5.18	4.42	1.69	0.0036	0.0305	ZNF519	zinc finger protein 519
1569086_at	5.57	7.75	-4.51	3.17e-05	0.0176	EML2-AS1	EML2 antisense RNA 1
1569107_s_at	4.2	3.58	1.54	0.0062	0.0454	ZFP69	ZFP69 zinc finger protein
1570285_at	4.45	5.11	-1.58	0.004	0.0332	LOC101927851	uncharacterized LOC101927851
200027_at	12.23	12.95	-1.64	0.0027	0.0247	NARS	asparaginyl-tRNA synthetase
200046_at	12.27	13.03	-1.69	0.0019	0.0189	DAD1	defender against cell death 1
200075_s_at	9.59	10.22	-1.55	0.0051	0.0397	GUK1	guanylate kinase 1
200087_s_at	12.44	13.37	-1.91	0.0015	0.0159	TMED2	transmembrane p24 trafficking protein 2
200090_at	11.39	12.13	-1.67	0.0035	0.0301	FNTA	farnesyltransferase, CAAX box, alpha
200599_s_at	12	13.7	-3.25	3e-04	0.0317	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1
200606_at	12.35	13.67	-2.5	5.15e-05	0.0017	DSP	desmoplakin
200617_at	10.48	11.55	-2.1	2e-04	0.0046	MLEC	malectin
200623_s_at	8.65	7.96	1.62	0.0036	0.0306	CALM2; CALM3	calmodulin 2 (phosphorylase kinase, delta); calmodulin 3 (phosphorylase kinase, delta)
200629_at	11.52	13.71	-4.58	3.96e-05	0.0045	WARS	tryptophanyl-tRNA synthetase
200632_s_at	8.85	10.91	-4.17	2e-04	0.0386	NDRG1	N-myc downstream regulated 1
200644_at	12.27	10.48	3.47	7.9e-06	6e-04	MARCKSL1	MARCKS-like 1
200650_s_at	14.07	14.82	-1.68	0.0025	0.0234	LDHA	lactate dehydrogenase A
200652_at	12.49	13.33	-1.79	0.0015	0.0162	SSR2	signal sequence receptor, beta (translocon-associated protein beta)
200654_at	12.27	13.62	-2.55	4e-04	0.0139	P4HB	prolyl 4-hydroxylase, beta polypeptide
200659_s_at	10.97	9.52	2.73	2e-04	0.01	PHB	prohibitin
200662_s_at	11.71	12.49	-1.72	0.0015	0.0163	TOMM20	translocase of outer mitochondrial membrane 20 homolog (yeast)
200670_at	12.42	10.98	2.72	3e-04	0.0113	XBP1	X-box binding protein 1
200699_at	10.18	11.44	-2.4	7.75e-05	0.0022	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
200707_at	9.08	8.03	2.06	6e-04	0.0085	PRKCSH	protein kinase C substrate 80K-H
200710_at	10.08	11.18	-2.14	4e-04	0.0062	ACADVL	acyl-CoA dehydrogenase, very long chain
200714_x_at	11.35	12.2	-1.8	0.001	0.0119	OS9	osteosarcoma amplified 9, endoplasmic reticulum lectin
200721_s_at	9.51	8.65	1.83	0.0019	0.0191	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
200749_at	11.07	9.17	3.73	0.0027	0.0415	RAN	RAN, member RAS oncogene family
200762_at	9.49	10.68	-2.29	1e-04	0.0031	DPYSL2	dihydropyrimidinase-like 2
200765_x_at	11.42	12.24	-1.77	0.0011	0.013	CTNNA1	catenin (cadherin-associated protein), alpha 1
200768_s_at	11.19	9.2	3.98	2.89e-05	0.004	MAT2A	methionine adenosyltransferase II, alpha
200779_at	11.94	12.92	-1.97	0.0026	0.0404	ATF4	activating transcription factor 4
200782_at	11.25	12.36	-2.16	2e-04	0.0046	ANXA5	annexin A5
200783_s_at	10.69	9.2	2.81	2.42e-05	0.0011	STMN1	stathmin 1
200790_at	11.74	9	6.7	2.99e-06	4e-04	ODC1	ornithine decarboxylase 1
200791_s_at	10.65	11.89	-2.36	1e-04	0.0033	IQGAP1	IQ motif containing GTPase activating protein 1
200802_at	12.11	13.29	-2.27	0.0023	0.0373	SARS	seryl-tRNA synthetase
200816_s_at	9.1	8.07	2.04	6e-04	0.0084	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)
200825_s_at	10.4	12.78	-5.21	7.74e-07	2e-04	HYOU1	hypoxia up-regulated 1
200827_at	8.18	9.46	-2.43	6e-04	0.0409	PLOD1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1
200832_s_at	12.3	13.39	-2.12	0.0014	0.0156	SCD	stearoyl-CoA desaturase (delta-9-desaturase)
200843_s_at	11.54	12.75	-2.3	0.0032	0.0455	EPRS	glutamyl-prolyl-tRNA synthetase
200847_s_at	11.71	12.74	-2.04	0.0024	0.0381	SARAF	store-operated calcium entry-associated regulatory factor
200862_at	10.55	8.87	3.18	2e-04	0.0087	DHCR24	24-dehydrocholesterol reductase
200871_s_at	12.59	13.3	-1.64	0.003	0.0268	PSAP	prosaposin
200875_s_at	10.58	8.88	3.26	3e-04	0.0111	NOP56	NOP56 ribonucleoprotein
200878_at	11.39	12.32	-1.9	8e-04	0.0101	EPAS1	endothelial PAS domain protein 1
200880_at	11.01	8.95	4.18	2e-04	0.0313	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1
200884_at	7.79	8.75	-1.94	5e-04	0.0075	CKB	creatine kinase, brain
200895_s_at	12.2	11.25	1.93	0.002	0.0197	FKBP4	FK506 binding protein 4
200904_at	7.65	8.37	-1.65	0.0026	0.0243	HLA-E	major histocompatibility complex, class I, E
200911_s_at	9.09	7.35	3.35	6.97e-05	0.0059	TACC1	transforming, acidic coiled-coil containing protein 1
200912_s_at	12.6	13.37	-1.7	0.0042	0.0345	EIF4A2	eukaryotic translation initiation factor 4A2
200916_at	11.56	10.19	2.59	6.43e-05	0.002	TAGLN2	transgelin 2
200923_at	8.46	7.65	1.76	0.0012	0.014	LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein
200924_s_at	11.47	12.78	-2.47	4e-04	0.0143	SLC3A2	solute carrier family 3 (amino acid transporter heavy chain), member 2
200934_at	12.22	11.49	1.65	0.0037	0.0315	DEK	DEK proto-oncogene
200941_at	11.04	10.36	1.6	0.0035	0.0299	HSBP1	heat shock factor binding protein 1
200945_s_at	11.2	12.63	-2.69	9e-04	0.0463	SEC31A	SEC31 homolog A, COPII coat complex component
200959_at	11.55	9.58	3.93	3e-04	0.0326	FUS	FUS RNA binding protein
200965_s_at	8.14	9.13	-1.99	5e-04	0.0077	ABLIM1	actin binding LIM protein 1
200966_x_at	13.62	14.55	-1.91	5e-04	0.0076	ALDOA	aldolase A, fructose-bisphosphate
200967_at	12.6	13.74	-2.2	0.0013	0.0259	PPIB	peptidylprolyl isomerase B (cyclophilin B)
200969_at	10.69	12.08	-2.62	4.38e-05	0.0016	SERP1	stress-associated endoplasmic reticulum protein 1
200974_at	8.26	9.02	-1.69	0.0018	0.0185	ACTA2	actin, alpha 2, smooth muscle, aorta
200975_at	11.28	10.1	2.27	0.0034	0.0478	PPT1	palmitoyl-protein thioesterase 1
200988_s_at	6.62	5.38	2.36	6e-04	0.008	PSME3	proteasome activator subunit 3
200989_at	12.74	11.47	2.41	6e-04	0.0396	HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)
200990_at	11.14	10.19	1.94	8e-04	0.0108	TRIM28	tripartite motif containing 28
200999_s_at	11.62	12.27	-1.57	0.0043	0.0352	CKAP4	cytoskeleton-associated protein 4
201000_at	12.19	13.46	-2.4	8.81e-05	0.0024	AARS	alanyl-tRNA synthetase
201005_at	12.94	11.54	2.65	8.91e-05	0.0024	CD9	CD9 molecule
201010_s_at	10.78	13.58	-6.97	3.85e-07	1e-04	TXNIP	thioredoxin interacting protein
201011_at	11.28	12.28	-2.01	0.0016	0.017	RPN1	ribophorin I
201012_at	7.03	9.24	-4.64	3.24e-06	4e-04	ANXA1	annexin A1
201013_s_at	11.85	12.62	-1.71	0.0021	0.0203	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
201015_s_at	10.45	8.8	3.13	1e-04	0.0071	JUP	junction plakoglobin
201018_at	8.22	6.71	2.85	0.0013	0.0264	EIF1AX	eukaryotic translation initiation factor 1A, X-linked
201032_at	11.02	11.94	-1.88	7e-04	0.0091	BLCAP	bladder cancer associated protein
201036_s_at	10.15	8.62	2.89	2e-04	0.0094	HADH	hydroxyacyl-CoA dehydrogenase
201037_at	11.89	13.12	-2.34	9e-04	0.0473	PFKP	phosphofructokinase, platelet
201038_s_at	8.88	8.22	1.57	0.0066	0.0477	ANP32A	acidic nuclear phosphoprotein 32 family member A
201040_at	9.66	9.03	1.55	0.006	0.0446	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2
201041_s_at	9.33	10.55	-2.33	1e-04	0.0026	DUSP1	dual specificity phosphatase 1
201042_at	8.36	6.84	2.87	7.72e-05	0.0022	TGM2	transglutaminase 2
201050_at	8.15	8.95	-1.74	0.0014	0.0156	PLD3	phospholipase D family, member 3
201054_at	11.8	10.69	2.16	2e-04	0.0037	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0
201056_at	6.94	8.56	-3.07	1e-04	0.0076	GOLGB1	golgin B1
201059_at	12.37	11.71	1.59	0.0039	0.0326	CTTN	cortactin
201063_at	6.99	8.29	-2.47	7.62e-05	0.0022	RCN1	reticulocalbin 1, EF-hand calcium binding domain
201079_at	11.55	10.52	2.04	0.0024	0.0383	SYNGR2	synaptogyrin 2
201089_at	9.32	9.96	-1.55	0.0068	0.0488	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2
201092_at	12.39	11.7	1.61	0.0062	0.0455	RBBP7	retinoblastoma binding protein 7
201095_at	9.91	11.17	-2.4	8e-04	0.0199	DAP	death-associated protein
201097_s_at	12.41	13.66	-2.37	2e-04	0.0036	ARF4	ADP-ribosylation factor 4
201098_at	11.1	12.34	-2.35	0.001	0.048	COPB2	coatomer protein complex subunit beta 2 (beta prime)
201102_s_at	9.42	10.04	-1.54	0.0059	0.0441	PFKL	phosphofructokinase, liver
201125_s_at	11.16	9.73	2.69	6e-04	0.0171	ITGB5	integrin beta 5
201133_s_at	8.99	10.94	-3.85	8e-04	0.0448	PJA2	praja ring finger 2, E3 ubiquitin protein ligase
201145_at	12.06	12.91	-1.8	0.0016	0.0172	HAX1	HCLS1 associated protein X-1
201150_s_at	7.98	6.33	3.14	1.46e-05	8e-04	TIMP3	TIMP metallopeptidase inhibitor 3
201170_s_at	9.16	12.16	-8.01	1.34e-09	3.65e-05	BHLHE40	basic helix-loop-helix family, member e40
201174_s_at	10.63	11.71	-2.11	3e-04	0.0052	TERF2IP	telomeric repeat binding factor 2, interacting protein
201175_at	10.21	10.85	-1.56	0.0046	0.0367	TMX2	thioredoxin-related transmembrane protein 2
201176_s_at	11.57	12.76	-2.29	1e-04	0.0027	ARCN1	archain 1
201181_at	8.96	10.03	-2.09	0.0034	0.0479	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3
201184_s_at	10.68	9.35	2.51	5e-04	0.0075	CHD4	chromodomain helicase DNA binding protein 4
201185_at	8.73	7.21	2.86	4e-04	0.0139	HTRA1	HtrA serine peptidase 1
201190_s_at	9.66	8.29	2.58	7.6e-05	0.0022	PITPNA	phosphatidylinositol transfer protein, alpha
201195_s_at	12.53	13.16	-1.55	0.0051	0.0393	SLC7A5	solute carrier family 7 (amino acid transporter light chain, L system), member 5
201197_at	10.64	9.8	1.78	0.0012	0.0136	AMD1	adenosylmethionine decarboxylase 1
201202_at	11.85	10.67	2.27	0.0031	0.0449	PCNA	proliferating cell nuclear antigen
201204_s_at	8.3	9.74	-2.7	2.94e-05	0.0012	RRBP1	ribosome binding protein 1
201209_at	11.5	10.59	1.88	8e-04	0.0105	HDAC1	histone deacetylase 1
201224_s_at	9.51	8.66	1.8	0.0017	0.0174	SRRM1	serine/arginine repetitive matrix 1
201231_s_at	13.08	13.74	-1.59	0.0043	0.0346	ENO1	enolase 1, (alpha)
201234_at	10.15	10.8	-1.57	0.005	0.0387	ILK	integrin linked kinase
201236_s_at	9.43	11.06	-3.1	2e-04	0.0313	BTG2	BTG family, member 2
201249_at	4.89	6.72	-3.55	1e-04	0.026	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1
201256_at	11.33	12.12	-1.73	0.0015	0.0163	COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like
201263_at	11.31	12.32	-2.02	3e-04	0.0054	TARS	threonyl-tRNA synthetase
201264_at	10.7	11.59	-1.85	0.0012	0.0135	COPE	coatomer protein complex subunit epsilon
201277_s_at	13.65	11.73	3.78	3e-04	0.0119	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B
201285_at	11.46	12.35	-1.85	0.0034	0.0297	MKRN1	makorin ring finger protein 1
201286_at	9.46	8.39	2.11	2e-04	0.0046	SDC1	syndecan 1
201292_at	10.55	9.26	2.46	0.0011	0.0128	TOP2A	topoisomerase (DNA) II alpha
201296_s_at	9.21	11.72	-5.71	9.55e-05	0.0243	WSB1	WD repeat and SOCS box containing 1
201300_s_at	9.91	11.34	-2.7	3.01e-05	0.0012	PRNP	prion protein
201313_at	6.13	11.28	-35.41	6.28e-08	5e-04	ENO2	enolase 2 (gamma, neuronal)
201316_at	8.66	7.95	1.64	0.0048	0.0376	PSMA2	proteasome subunit alpha 2
201328_at	7.75	9.21	-2.75	2e-04	0.0038	ETS2	v-ets avian erythroblastosis virus E26 oncogene homolog 2
201341_at	9.58	8.81	1.7	0.0036	0.0308	ENC1	ectodermal-neural cortex 1 (with BTB domain)
201349_at	12.02	10.64	2.61	2e-04	0.0034	SLC9A3R1	solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 1
201350_at	9.28	8.6	1.6	0.0039	0.0326	FLOT2	flotillin 2
201352_at	12.22	13.03	-1.76	0.0019	0.019	YME1L1	YME1-like 1 ATPase
201358_s_at	12.26	13.4	-2.21	0.0015	0.028	COPB1	coatomer protein complex subunit beta 1
201361_at	10.42	8.82	3.01	4.28e-05	0.0015	TMEM109	transmembrane protein 109
201368_at	11.9	9.26	6.23	5.31e-06	0.0024	ZFP36L2	ZFP36 ring finger protein-like 2
201375_s_at	11.15	11.83	-1.6	0.0037	0.0315	PPP2CB	protein phosphatase 2, catalytic subunit, beta isozyme
201376_s_at	10.7	9.97	1.66	0.0022	0.0214	HNRNPF	heterogeneous nuclear ribonucleoprotein F
201384_s_at	9.8	10.81	-2.01	5e-04	0.0073	NBR1	neighbor of BRCA1 gene 1
201385_at	12.47	11.76	1.64	0.0028	0.0257	DHX15	DEAH (Asp-Glu-Ala-His) box helicase 15
201389_at	7.24	8.45	-2.32	7e-04	0.0436	ITGA5	integrin alpha 5
201397_at	9.96	11.36	-2.64	7e-04	0.0181	PHGDH	phosphoglycerate dehydrogenase
201398_s_at	11.69	13.22	-2.89	3.56e-05	0.0014	TRAM1	translocation associated membrane protein 1
201408_at	8.47	9.19	-1.65	0.0025	0.0235	PPP1CB	protein phosphatase 1, catalytic subunit, beta isozyme
201413_at	11.07	11.95	-1.84	0.0011	0.0127	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4
201417_at	12.34	11.65	1.61	0.0055	0.042	SOX4	SRY box 4
201421_s_at	10.28	8.92	2.57	4.29e-05	0.0015	WDR77	WD repeat domain 77
201424_s_at	8.75	8.15	1.51	0.007	0.0496	CUL4A	cullin 4A
201440_at	10.94	10	1.92	8e-04	0.0105	DDX23	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23
201441_at	11.87	11.09	1.72	0.0018	0.0183	COX6B1	cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous)
201449_at	6.59	5.13	2.75	3.36e-05	0.0013	TIA1	TIA1 cytotoxic granule-associated RNA binding protein
201466_s_at	7.52	9.16	-3.12	9.58e-07	0.0013	JUN	jun proto-oncogene
201468_s_at	13.46	12.58	1.84	0.0017	0.0173	NQO1	NAD(P)H dehydrogenase, quinone 1
201480_s_at	8.48	9.17	-1.61	0.0052	0.0401	SUPT5H	SPT5 homolog, DSIF elongation factor subunit
201482_at	10.02	11.73	-3.28	2.45e-05	0.0011	QSOX1	quiescin Q6 sulfhydryl oxidase 1
201489_at	10.97	9.84	2.19	2e-04	0.0034	PPIF	peptidylprolyl isomerase F
201491_at	12.47	11.78	1.6	0.0044	0.0352	AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)
201502_s_at	11.47	10.1	2.59	5e-04	0.0072	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
201506_at	10.68	11.67	-1.99	0.0022	0.0358	TGFBI	transforming growth factor, beta-induced, 68kDa
201508_at	8.96	7.14	3.52	7.15e-05	0.0059	IGFBP4	insulin like growth factor binding protein 4
201555_at	10.78	8.07	6.54	3.53e-07	1e-04	MCM3	minichromosome maintenance complex component 3
201560_at	10.03	11.26	-2.35	1e-04	0.003	CLIC4	chloride intracellular channel 4
201563_at	9.64	8.75	1.86	0.0029	0.0264	SORD	sorbitol dehydrogenase
201567_s_at	9.64	11.2	-2.94	4e-04	0.0142	GOLGA4	golgin A4
201575_at	11.11	11.78	-1.6	0.0048	0.0378	SNW1	SNW domain containing 1
201578_at	10.27	8.35	3.81	2e-04	0.0099	PODXL	podocalyxin-like
201581_at	9.65	8.86	1.74	0.0015	0.0159	TMX4	thioredoxin-related transmembrane protein 4
201582_at	8.8	11.02	-4.65	4.49e-05	0.0048	SEC23B	Sec23 homolog B, COPII coat complex component
201584_s_at	11.57	9.58	3.98	1.43e-05	8e-04	DDX39A	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A
201588_at	11.3	11.99	-1.62	0.0052	0.0399	TXNL1	thioredoxin-like 1
201594_s_at	10.53	9.68	1.79	0.0041	0.034	PPP4R1	protein phosphatase 4, regulatory subunit 1
201595_s_at	10.95	11.86	-1.88	7e-04	0.009	ZC3H15	zinc finger CCCH-type containing 15
201611_s_at	8.9	7.72	2.27	1e-04	0.0028	ICMT	isoprenylcysteine carboxyl methyltransferase
201614_s_at	10.21	8.84	2.6	7e-04	0.0095	RUVBL1	RuvB-like AAA ATPase 1
201624_at	8.89	10.06	-2.24	1e-04	0.003	DARS	aspartyl-tRNA synthetase
201626_at	9.84	11.09	-2.38	0.0018	0.0182	INSIG1	insulin induced gene 1
201631_s_at	13.54	14.23	-1.61	0.0031	0.0278	IER3	immediate early response 3
201658_at	8.91	10.53	-3.07	2.36e-05	0.0011	ARL1	ADP-ribosylation factor like GTPase 1
201673_s_at	9.81	11.27	-2.74	1e-04	0.0033	GYS1	glycogen synthase 1 (muscle)
201675_at	9.53	7.47	4.16	2.5e-05	0.0037	AKAP1	A kinase (PRKA) anchor protein 1
